[aas@localhost platform-tools]$ ./adb shell getevent -lt /dev/input/event1
[   20130.607403] EV_ABS       ABS_MT_TOUCH_MINOR   00000009            
[   20130.607407] EV_SYN       SYN_REPORT           00000000 
           
[   20130.618476] EV_ABS       003f                 00000010            
[   20130.618488] EV_ABS       ABS_MT_POSITION_X    00000217            
[   20130.618491] EV_ABS       ABS_MT_POSITION_Y    000000a9            
[   20130.618499] EV_SYN       SYN_REPORT           00000000 
           
[   20130.629504] EV_ABS       003f                 0000000e            
[   20130.629515] EV_ABS       ABS_MT_POSITION_X    00000216            
[   20130.629518] EV_ABS       ABS_MT_POSITION_Y    000000ac            
[   20130.629525] EV_SYN       SYN_REPORT           00000000 
           
[   20130.640631] EV_ABS       ABS_MT_POSITION_X    00000214            
[   20130.640638] EV_ABS       ABS_MT_POSITION_Y    000000af            
[   20130.640645] EV_SYN       SYN_REPORT           00000000 
           
[   20130.651775] EV_ABS       ABS_MT_POSITION_X    00000213            
[   20130.651783] EV_ABS       ABS_MT_POSITION_Y    000000b2            
[   20130.651787] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001c            
[   20130.651793] EV_SYN       SYN_REPORT           00000000 
           
[   20130.662792] EV_ABS       003f                 00000012            
[   20130.662802] EV_ABS       ABS_MT_POSITION_X    00000211            
[   20130.662805] EV_ABS       ABS_MT_POSITION_Y    000000b5            
[   20130.662809] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001b            
[   20130.662811] EV_ABS       ABS_MT_TOUCH_MINOR   0000000a            
[   20130.662815] EV_SYN       SYN_REPORT           00000000 
           
[   20130.673880] EV_ABS       ABS_MT_POSITION_X    0000020e            
[   20130.673886] EV_ABS       ABS_MT_POSITION_Y    000000b8            
[   20130.673891] EV_ABS       ABS_MT_TOUCH_MINOR   00000010            
[   20130.673895] EV_SYN       SYN_REPORT           00000000 
           
[   20130.684997] EV_ABS       ABS_MT_POSITION_X    0000020b            
[   20130.685004] EV_ABS       ABS_MT_POSITION_Y    000000bb            
[   20130.685013] EV_SYN       SYN_REPORT           00000000 
           
[   20130.695988] EV_ABS       003f                 00000014            
[   20130.695998] EV_ABS       ABS_MT_POSITION_X    00000207            
[   20130.696001] EV_ABS       ABS_MT_POSITION_Y    000000be            
[   20130.696004] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001c            
[   20130.696007] EV_ABS       ABS_MT_TOUCH_MINOR   0000000b            
[   20130.696011] EV_SYN       SYN_REPORT           00000000 
           
[   20130.707129] EV_ABS       003f                 00000012            
[   20130.707141] EV_ABS       ABS_MT_POSITION_X    00000203            
[   20130.707145] EV_ABS       ABS_MT_POSITION_Y    000000c1            
[   20130.707148] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001b            
[   20130.707151] EV_ABS       ABS_MT_TOUCH_MINOR   00000009            
[   20130.707156] EV_SYN       SYN_REPORT           00000000 
           
[   20130.718109] EV_ABS       ABS_MT_POSITION_X    00000200            
[   20130.718115] EV_ABS       ABS_MT_POSITION_Y    000000c4            
[   20130.718122] EV_SYN       SYN_REPORT           00000000 
           
[   20130.729280] EV_ABS       003f                 0000000e            
[   20130.729293] EV_ABS       ABS_MT_POSITION_X    000001fd            
[   20130.729297] EV_ABS       ABS_MT_POSITION_Y    000000c7            
[   20130.729300] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001a            
[   20130.729306] EV_SYN       SYN_REPORT           00000000 
           
[   20130.740370] EV_ABS       003f                 0000000c            
[   20130.740381] EV_ABS       ABS_MT_POSITION_X    000001fa            
[   20130.740384] EV_ABS       ABS_MT_POSITION_Y    000000ca            
[   20130.740392] EV_SYN       SYN_REPORT           00000000 
           
[   20130.751373] EV_ABS       ABS_MT_POSITION_X    000001f8            
[   20130.751379] EV_ABS       ABS_MT_POSITION_Y    000000cc            
[   20130.751386] EV_SYN       SYN_REPORT           00000000 
           
[   20130.762475] EV_ABS       003f                 0000000e            
[   20130.762486] EV_ABS       ABS_MT_POSITION_X    000001f6            
[   20130.762489] EV_ABS       ABS_MT_POSITION_Y    000000ce            
[   20130.762493] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001b            
[   20130.762498] EV_SYN       SYN_REPORT           00000000 
           
[   20130.773570] EV_ABS       ABS_MT_POSITION_X    000001f4            
[   20130.773576] EV_ABS       ABS_MT_POSITION_Y    000000d1            
[   20130.773579] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001c            
[   20130.773585] EV_SYN       SYN_REPORT           00000000 
           
[   20130.784689] EV_ABS       003f                 00000012            
[   20130.784701] EV_ABS       ABS_MT_POSITION_X    000001f3            
[   20130.784705] EV_ABS       ABS_MT_POSITION_Y    000000d3            
[   20130.784713] EV_SYN       SYN_REPORT           00000000 
           
[   20130.795724] EV_ABS       ABS_MT_POSITION_X    000001f2            
[   20130.795730] EV_ABS       ABS_MT_POSITION_Y    000000d5            
[   20130.795733] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001d            
[   20130.795738] EV_SYN       SYN_REPORT           00000000 
           
[   20130.806846] EV_ABS       ABS_MT_POSITION_X    000001f1            
[   20130.806853] EV_ABS       ABS_MT_POSITION_Y    000000d7            
[   20130.806862] EV_SYN       SYN_REPORT           00000000 
           
[   20130.817890] EV_ABS       ABS_MT_POSITION_X    000001f0            
[   20130.817896] EV_ABS       ABS_MT_POSITION_Y    000000d9            
[   20130.817903] EV_SYN       SYN_REPORT           00000000 
           
[   20130.828980] EV_ABS       003f                 00000010            
[   20130.828994] EV_ABS       ABS_MT_POSITION_Y    000000da            
[   20130.828998] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001b            
[   20130.829004] EV_SYN       SYN_REPORT           00000000 
           
[   20130.840108] EV_ABS       003f                 0000000e            
[   20130.840120] EV_ABS       ABS_MT_POSITION_Y    000000db            
[   20130.840127] EV_SYN       SYN_REPORT           00000000 
           
[   20130.851136] EV_ABS       003f                 00000010            
[   20130.851148] EV_ABS       ABS_MT_POSITION_X    000001f1            
[   20130.851151] EV_ABS       ABS_MT_POSITION_Y    000000dd            
[   20130.851155] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001c            
[   20130.851158] EV_ABS       ABS_MT_TOUCH_MINOR   0000000a            
[   20130.851163] EV_SYN       SYN_REPORT           00000000 
           
[   20130.862174] EV_ABS       003f                 00000014            
[   20130.862184] EV_ABS       ABS_MT_POSITION_X    000001f2            
[   20130.862187] EV_ABS       ABS_MT_POSITION_Y    000000de            
[   20130.862192] EV_ABS       ABS_MT_TOUCH_MINOR   0000000e            
[   20130.862196] EV_SYN       SYN_REPORT           00000000 
           
[   20130.873243] EV_ABS       ABS_MT_POSITION_X    000001f5            
[   20130.873248] EV_ABS       ABS_MT_POSITION_Y    000000e0            
[   20130.873253] EV_ABS       ABS_MT_TOUCH_MINOR   00000011            
[   20130.873257] EV_SYN       SYN_REPORT           00000000 
           
[   20130.884372] EV_ABS       ABS_MT_POSITION_X    000001fa            
[   20130.884379] EV_ABS       ABS_MT_POSITION_Y    000000e2            
[   20130.884384] EV_ABS       ABS_MT_TOUCH_MINOR   0000000a            
[   20130.884388] EV_SYN       SYN_REPORT           00000000 
           
[   20130.895545] EV_ABS       ABS_MT_POSITION_X    000001ff            
[   20130.895552] EV_ABS       ABS_MT_POSITION_Y    000000e3            
[   20130.895556] EV_ABS       ABS_MT_TOUCH_MAJOR   0000001b            
[   20130.895559] EV_ABS       ABS_MT_TOUCH_MINOR   00000009            
[   20130.895563] EV_SYN       SYN_REPORT           00000000 
           
[   20130.906463] EV_ABS       003f                 00000010            
[   20130.906473] EV_ABS       ABS_MT_POSITION_X    00000204            
