average: 0.011080459

[    6018.030598] EV_ABS       ABS_MT_TOUCH_MAJOR   00000017            
[    6018.030604] EV_SYN       SYN_REPORT           00000000            
[    6018.041601] EV_ABS       ABS_MT_POSITION_X    00000145            
[    6018.041608] EV_ABS       ABS_MT_POSITION_Y    000001c7            
[    6018.041616] EV_SYN       SYN_REPORT           00000000            
[    6018.052630] EV_ABS       003f                 00000010            
[    6018.052639] EV_ABS       ABS_MT_POSITION_X    00000146            
[    6018.052643] EV_ABS       ABS_MT_POSITION_Y    000001c9            
[    6018.052650] EV_SYN       SYN_REPORT           00000000            
[    6018.063724] EV_ABS       ABS_MT_POSITION_X    00000147            
[    6018.063737] EV_ABS       ABS_MT_POSITION_Y    000001cb            
[    6018.063744] EV_SYN       SYN_REPORT           00000000            
[    6018.074769] EV_ABS       ABS_MT_POSITION_X    00000148            
[    6018.074775] EV_ABS       ABS_MT_POSITION_Y    000001cc            
[    6018.074782] EV_SYN       SYN_REPORT           00000000            
[    6018.085886] EV_ABS       ABS_MT_POSITION_X    00000149            
[    6018.085892] EV_ABS       ABS_MT_POSITION_Y    000001cd            
[    6018.085895] EV_ABS       ABS_MT_TOUCH_MAJOR   00000018            
[    6018.085901] EV_SYN       SYN_REPORT           00000000            
[    6018.097246] EV_ABS       003f                 0000000e            
[    6018.097269] EV_ABS       ABS_MT_POSITION_X    0000014a            
[    6018.097273] EV_ABS       ABS_MT_POSITION_Y    000001ce            
[    6018.097277] EV_ABS       ABS_MT_TOUCH_MAJOR   00000017            
[    6018.097286] EV_SYN       SYN_REPORT           00000000            
[    6018.108114] EV_ABS       ABS_MT_POSITION_X    0000014b            
[    6018.108122] EV_ABS       ABS_MT_POSITION_Y    000001cf            
[    6018.108131] EV_SYN       SYN_REPORT           00000000            
[    6018.119281] EV_ABS       ABS_MT_POSITION_Y    000001d0            
[    6018.119295] EV_SYN       SYN_REPORT           00000000            
[    6018.130202] EV_ABS       ABS_MT_POSITION_Y    000001d1            
[    6018.130220] EV_SYN       SYN_REPORT           00000000            
[    6018.141331] EV_ABS       ABS_MT_POSITION_Y    000001d2            
[    6018.141344] EV_SYN       SYN_REPORT           00000000            
[    6018.152490] EV_ABS       ABS_MT_POSITION_Y    000001d3            
[    6018.152504] EV_ABS       ABS_MT_TOUCH_MAJOR   00000016            
[    6018.152518] EV_SYN       SYN_REPORT           00000000            
[    6018.163383] EV_ABS       ABS_MT_POSITION_Y    000001d4            
[    6018.163397] EV_SYN       SYN_REPORT           00000000            
[    6018.174702] EV_ABS       ABS_MT_POSITION_Y    000001d5            
[    6018.174713] EV_ABS       ABS_MT_TOUCH_MAJOR   00000018            
[    6018.174720] EV_SYN       SYN_REPORT           00000000            
[    6018.185632] EV_ABS       ABS_MT_POSITION_Y    000001d6            
[    6018.185640] EV_ABS       ABS_MT_TOUCH_MAJOR   00000017            
[    6018.185647] EV_SYN       SYN_REPORT           00000000            
[    6018.196868] EV_ABS       ABS_MT_POSITION_X    0000014c            
[    6018.196874] EV_ABS       ABS_MT_POSITION_Y    000001d7            
[    6018.196878] EV_ABS       ABS_MT_TOUCH_MAJOR   00000018            
[    6018.196883] EV_SYN       SYN_REPORT           00000000            
[    6018.207772] EV_ABS       003f                 00000010            
[    6018.207785] EV_ABS       ABS_MT_POSITION_X    0000014d            
[    6018.207788] EV_ABS       ABS_MT_POSITION_Y    000001d8            
